Financial year,Local authority name,Region,Measure,Value,Units
2016-17,Trafford,North West,Short term service provision (Percentage),64.1,Percentage
2016-17,Wakefield,Yorkshire and The Humber,Short term service provision (Percentage),85.5,Percentage
2016-17,Walsall,West Midlands,Short term service provision (Percentage),87,Percentage
2016-17,Waltham Forest,London,Short term service provision (Percentage),79,Percentage
2016-17,Wandsworth,London,Short term service provision (Percentage),66.6,Percentage
2016-17,Warrington,North West,Short term service provision (Percentage),70.3,Percentage
2016-17,Warwickshire,West Midlands,Short term service provision (Percentage),69.9,Percentage
2016-17,West Berkshire,South East,Short term service provision (Percentage),57.8,Percentage
2016-17,West Sussex,South East,Short term service provision (Percentage),78.5,Percentage
2016-17,Westminster,London,Short term service provision (Percentage),73.6,Percentage
2016-17,Wigan,North West,Short term service provision (Percentage),89.7,Percentage
2016-17,Wiltshire,South West,Short term service provision (Percentage),63.4,Percentage
2016-17,Windsor and Maidenhead,South East,Short term service provision (Percentage),97.4,Percentage
2016-17,Wirral,North West,Short term service provision (Percentage),82.4,Percentage
2016-17,Wokingham,South East,Short term service provision (Percentage),46.4,Percentage
2016-17,Wolverhampton,West Midlands,Short term service provision (Percentage),84.2,Percentage
2016-17,Worcestershire,West Midlands,Short term service provision (Percentage),71.8,Percentage
2016-17,York,Yorkshire and The Humber,Short term service provision (Percentage),71.1,Percentage
2015-16,Barking and Dagenham,London,People who use services who found it easy to find information (Percentage),67.1,Percentage
2015-16,Barnet,London,People who use services who found it easy to find information (Percentage),69.4,Percentage
2015-16,Barnsley,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),78.2,Percentage
2015-16,Bath and North East Somerset,South West,People who use services who found it easy to find information (Percentage),73.5,Percentage
2015-16,Bedford,East of England,People who use services who found it easy to find information (Percentage),78.4,Percentage
2015-16,Bexley,London,People who use services who found it easy to find information (Percentage),69.8,Percentage
2015-16,Birmingham,West Midlands,People who use services who found it easy to find information (Percentage),71,Percentage
2015-16,Blackburn with Darwen,North West,People who use services who found it easy to find information (Percentage),87.3,Percentage
2015-16,Blackpool,North West,People who use services who found it easy to find information (Percentage),77.6,Percentage
2015-16,Bolton,North West,People who use services who found it easy to find information (Percentage),69,Percentage
2015-16,Bournemouth,South West,People who use services who found it easy to find information (Percentage),76.6,Percentage
2015-16,Bracknell Forest,South East,People who use services who found it easy to find information (Percentage),80.2,Percentage
2015-16,Bradford,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),70.8,Percentage
2015-16,Brent,London,People who use services who found it easy to find information (Percentage),64.4,Percentage
2015-16,Brighton and Hove,South East,People who use services who found it easy to find information (Percentage),69.8,Percentage
2015-16,Bristol,South West,People who use services who found it easy to find information (Percentage),72.2,Percentage
2015-16,Bromley,London,People who use services who found it easy to find information (Percentage),73,Percentage
2015-16,Buckinghamshire,South East,People who use services who found it easy to find information (Percentage),71.7,Percentage
2015-16,Bury,North West,People who use services who found it easy to find information (Percentage),70.3,Percentage
2015-16,Calderdale,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),70.6,Percentage
2015-16,Cambridgeshire,East of England,People who use services who found it easy to find information (Percentage),72.4,Percentage
2015-16,Camden,London,People who use services who found it easy to find information (Percentage),72.5,Percentage
2015-16,Central Bedfordshire,East of England,People who use services who found it easy to find information (Percentage),74.4,Percentage
2015-16,Cheshire East,North West,People who use services who found it easy to find information (Percentage),78.9,Percentage
2015-16,Cheshire West and Chester,North West,People who use services who found it easy to find information (Percentage),73.4,Percentage
2015-16,City of London,London,People who use services who found it easy to find information (Percentage),-,Percentage
2015-16,Cornwall,South West,People who use services who found it easy to find information (Percentage),68.2,Percentage
2015-16,County Durham,North East,People who use services who found it easy to find information (Percentage),79.8,Percentage
2015-16,Coventry,West Midlands,People who use services who found it easy to find information (Percentage),69.5,Percentage
2015-16,Croydon,London,People who use services who found it easy to find information (Percentage),68.1,Percentage
2015-16,Cumbria,North West,People who use services who found it easy to find information (Percentage),74.7,Percentage
2015-16,Darlington,North East,People who use services who found it easy to find information (Percentage),76.7,Percentage
2015-16,Derby,East Midlands,People who use services who found it easy to find information (Percentage),70.2,Percentage
2015-16,Derbyshire,East Midlands,People who use services who found it easy to find information (Percentage),78,Percentage
2015-16,Devon,South West,People who use services who found it easy to find information (Percentage),70,Percentage
2015-16,Doncaster,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),75,Percentage
2015-16,Dorset,South West,People who use services who found it easy to find information (Percentage),74,Percentage
2015-16,Dudley,West Midlands,People who use services who found it easy to find information (Percentage),77.6,Percentage
2015-16,Ealing,London,People who use services who found it easy to find information (Percentage),71.2,Percentage
2015-16,East Riding of Yorkshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),83.1,Percentage
2015-16,East Sussex,South East,People who use services who found it easy to find information (Percentage),76.2,Percentage
2015-16,Enfield,London,People who use services who found it easy to find information (Percentage),73.8,Percentage
2015-16,Essex,East of England,People who use services who found it easy to find information (Percentage),69.2,Percentage
2015-16,Gateshead,North East,People who use services who found it easy to find information (Percentage),80.8,Percentage
2015-16,Gloucestershire,South West,People who use services who found it easy to find information (Percentage),77.3,Percentage
2015-16,Greenwich,London,People who use services who found it easy to find information (Percentage),67.7,Percentage
2015-16,Hackney,London,People who use services who found it easy to find information (Percentage),71.9,Percentage
2015-16,Halton,North West,People who use services who found it easy to find information (Percentage),78.3,Percentage
2015-16,Hammersmith and Fulham,London,People who use services who found it easy to find information (Percentage),74.2,Percentage
2015-16,Hampshire,South East,People who use services who found it easy to find information (Percentage),71.5,Percentage
2015-16,Haringey,London,People who use services who found it easy to find information (Percentage),71.6,Percentage
2015-16,Harrow,London,People who use services who found it easy to find information (Percentage),69.1,Percentage
2015-16,Hartlepool,North East,People who use services who found it easy to find information (Percentage),85.5,Percentage
2015-16,Havering,London,People who use services who found it easy to find information (Percentage),74.3,Percentage
2015-16,Herefordshire,West Midlands,People who use services who found it easy to find information (Percentage),72.2,Percentage
2015-16,Hertfordshire,East of England,People who use services who found it easy to find information (Percentage),74.9,Percentage
2015-16,Hillingdon,London,People who use services who found it easy to find information (Percentage),75,Percentage
2015-16,Hounslow,London,People who use services who found it easy to find information (Percentage),67,Percentage
2015-16,Isle of Wight,South East,People who use services who found it easy to find information (Percentage),78.2,Percentage
2015-16,Isles of Scilly,South West,People who use services who found it easy to find information (Percentage),-,Percentage
2015-16,Islington,London,People who use services who found it easy to find information (Percentage),72.9,Percentage
2015-16,Kensington and Chelsea,London,People who use services who found it easy to find information (Percentage),73.1,Percentage
2015-16,Kent,South East,People who use services who found it easy to find information (Percentage),75.4,Percentage
2015-16,Kingston Upon Hull,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),76,Percentage
2015-16,Kingston upon Thames,London,People who use services who found it easy to find information (Percentage),77.4,Percentage
2015-16,Kirklees,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),72.2,Percentage
2015-16,Knowsley,North West,People who use services who found it easy to find information (Percentage),74.9,Percentage
2015-16,Lambeth,London,People who use services who found it easy to find information (Percentage),65.9,Percentage
2015-16,Lancashire,North West,People who use services who found it easy to find information (Percentage),70.8,Percentage
2015-16,Leeds,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),77.6,Percentage
2015-16,Leicester,East Midlands,People who use services who found it easy to find information (Percentage),61.7,Percentage
2015-16,Leicestershire,East Midlands,People who use services who found it easy to find information (Percentage),67.1,Percentage
2015-16,Lewisham,London,People who use services who found it easy to find information (Percentage),74.1,Percentage
2015-16,Lincolnshire,East Midlands,People who use services who found it easy to find information (Percentage),71.3,Percentage
2015-16,Liverpool,North West,People who use services who found it easy to find information (Percentage),68.5,Percentage
2015-16,Luton,East of England,People who use services who found it easy to find information (Percentage),66.6,Percentage
2015-16,Manchester,North West,People who use services who found it easy to find information (Percentage),69.2,Percentage
2015-16,Medway,South East,People who use services who found it easy to find information (Percentage),78.4,Percentage
2015-16,Merton,London,People who use services who found it easy to find information (Percentage),74.5,Percentage
2015-16,Middlesbrough,North East,People who use services who found it easy to find information (Percentage),81,Percentage
2015-16,Milton Keynes,South East,People who use services who found it easy to find information (Percentage),71.9,Percentage
2015-16,Newcastle upon Tyne,North East,People who use services who found it easy to find information (Percentage),82.1,Percentage
2015-16,Newham,London,People who use services who found it easy to find information (Percentage),75.2,Percentage
2015-16,Norfolk,East of England,People who use services who found it easy to find information (Percentage),71.2,Percentage
2015-16,North East Lincolnshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),72.3,Percentage
2015-16,North Lincolnshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),81.5,Percentage
2015-16,North Somerset,South West,People who use services who found it easy to find information (Percentage),77.6,Percentage
2015-16,North Tyneside,North East,People who use services who found it easy to find information (Percentage),78.6,Percentage
2015-16,North Yorkshire,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),76,Percentage
2015-16,Northamptonshire,East Midlands,People who use services who found it easy to find information (Percentage),71.2,Percentage
2015-16,Northumberland,North East,People who use services who found it easy to find information (Percentage),80.6,Percentage
2015-16,Nottingham,East Midlands,People who use services who found it easy to find information (Percentage),75.4,Percentage
2015-16,Nottinghamshire,East Midlands,People who use services who found it easy to find information (Percentage),69.8,Percentage
2015-16,Oldham,North West,People who use services who found it easy to find information (Percentage),71,Percentage
2015-16,Oxfordshire,South East,People who use services who found it easy to find information (Percentage),76.7,Percentage
2015-16,Peterborough,East of England,People who use services who found it easy to find information (Percentage),72.8,Percentage
2015-16,Plymouth,South West,People who use services who found it easy to find information (Percentage),74.9,Percentage
2015-16,Poole,South West,People who use services who found it easy to find information (Percentage),80.4,Percentage
2015-16,Portsmouth,South East,People who use services who found it easy to find information (Percentage),75.9,Percentage
2015-16,Reading,South East,People who use services who found it easy to find information (Percentage),73.4,Percentage
2015-16,Redbridge,London,People who use services who found it easy to find information (Percentage),83,Percentage
2015-16,Redcar and Cleveland,North East,People who use services who found it easy to find information (Percentage),76.8,Percentage
2015-16,Richmond upon Thames,London,People who use services who found it easy to find information (Percentage),76.8,Percentage
2015-16,Rochdale,North West,People who use services who found it easy to find information (Percentage),80.4,Percentage
2015-16,Rotherham,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),78.3,Percentage
2015-16,Rutland,East Midlands,People who use services who found it easy to find information (Percentage),75.7,Percentage
2015-16,Salford,North West,People who use services who found it easy to find information (Percentage),74.2,Percentage
2015-16,Sandwell,West Midlands,People who use services who found it easy to find information (Percentage),83.4,Percentage
2015-16,Sefton,North West,People who use services who found it easy to find information (Percentage),75.5,Percentage
2015-16,Sheffield,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),66.7,Percentage
2015-16,Shropshire,West Midlands,People who use services who found it easy to find information (Percentage),69.3,Percentage
2015-16,Slough,South East,People who use services who found it easy to find information (Percentage),74.3,Percentage
2015-16,Solihull,West Midlands,People who use services who found it easy to find information (Percentage),75.5,Percentage
2015-16,Somerset,South West,People who use services who found it easy to find information (Percentage),70.4,Percentage
2015-16,South Gloucestershire,South West,People who use services who found it easy to find information (Percentage),75.7,Percentage
2015-16,South Tyneside,North East,People who use services who found it easy to find information (Percentage),70,Percentage
2015-16,Southampton,South East,People who use services who found it easy to find information (Percentage),95.4,Percentage
2015-16,Southend-on-Sea,East of England,People who use services who found it easy to find information (Percentage),73.5,Percentage
2015-16,Southwark,London,People who use services who found it easy to find information (Percentage),73,Percentage
2015-16,St. Helens,North West,People who use services who found it easy to find information (Percentage),82.1,Percentage
2015-16,Staffordshire,West Midlands,People who use services who found it easy to find information (Percentage),73.6,Percentage
2015-16,Stockport,North West,People who use services who found it easy to find information (Percentage),74.4,Percentage
2015-16,Stockton-on-Tees,North East,People who use services who found it easy to find information (Percentage),81.5,Percentage
2015-16,Stoke-on-Trent,West Midlands,People who use services who found it easy to find information (Percentage),68.5,Percentage
2015-16,Suffolk,East of England,People who use services who found it easy to find information (Percentage),75.5,Percentage
2015-16,Sunderland,North East,People who use services who found it easy to find information (Percentage),74.5,Percentage
2015-16,Surrey,South East,People who use services who found it easy to find information (Percentage),74.3,Percentage
2015-16,Sutton,London,People who use services who found it easy to find information (Percentage),79.1,Percentage
2015-16,Swindon,South West,People who use services who found it easy to find information (Percentage),75.5,Percentage
2015-16,Tameside,North West,People who use services who found it easy to find information (Percentage),70.6,Percentage
2015-16,Telford and Wrekin,West Midlands,People who use services who found it easy to find information (Percentage),70.7,Percentage
2015-16,Thurrock,East of England,People who use services who found it easy to find information (Percentage),85.8,Percentage
2015-16,Torbay,South West,People who use services who found it easy to find information (Percentage),81.3,Percentage
2015-16,Tower Hamlets,London,People who use services who found it easy to find information (Percentage),74.6,Percentage
2015-16,Trafford,North West,People who use services who found it easy to find information (Percentage),65.4,Percentage
2015-16,Wakefield,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),80.8,Percentage
2015-16,Walsall,West Midlands,People who use services who found it easy to find information (Percentage),68.1,Percentage
2015-16,Waltham Forest,London,People who use services who found it easy to find information (Percentage),66.8,Percentage
2015-16,Wandsworth,London,People who use services who found it easy to find information (Percentage),74.9,Percentage
2015-16,Warrington,North West,People who use services who found it easy to find information (Percentage),79.9,Percentage
2015-16,Warwickshire,West Midlands,People who use services who found it easy to find information (Percentage),75.4,Percentage
2015-16,West Berkshire,South East,People who use services who found it easy to find information (Percentage),72.5,Percentage
2015-16,West Sussex,South East,People who use services who found it easy to find information (Percentage),69.8,Percentage
2015-16,Westminster,London,People who use services who found it easy to find information (Percentage),72.7,Percentage
2015-16,Wigan,North West,People who use services who found it easy to find information (Percentage),66.5,Percentage
2015-16,Wiltshire,South West,People who use services who found it easy to find information (Percentage),74.5,Percentage
2015-16,Windsor and Maidenhead,South East,People who use services who found it easy to find information (Percentage),75.4,Percentage
2015-16,Wirral,North West,People who use services who found it easy to find information (Percentage),73.7,Percentage
2015-16,Wokingham,South East,People who use services who found it easy to find information (Percentage),73,Percentage
2015-16,Wolverhampton,West Midlands,People who use services who found it easy to find information (Percentage),75,Percentage
2015-16,Worcestershire,West Midlands,People who use services who found it easy to find information (Percentage),75,Percentage
2015-16,York,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),77,Percentage
2015-16,Barking and Dagenham,London,"Requests resulting in a service (per 100,000 population)",1239,"per 100,000 population"
2015-16,Barnet,London,"Requests resulting in a service (per 100,000 population)",986,"per 100,000 population"
2015-16,Barnsley,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",2957,"per 100,000 population"
2015-16,Bath and North East Somerset,South West,"Requests resulting in a service (per 100,000 population)",933,"per 100,000 population"
2015-16,Bedford,East of England,"Requests resulting in a service (per 100,000 population)",1016,"per 100,000 population"
2015-16,Bexley,London,"Requests resulting in a service (per 100,000 population)",2232,"per 100,000 population"
2015-16,Birmingham,West Midlands,"Requests resulting in a service (per 100,000 population)",1412,"per 100,000 population"
2015-16,Blackburn with Darwen,North West,"Requests resulting in a service (per 100,000 population)",1889,"per 100,000 population"
2015-16,Blackpool,North West,"Requests resulting in a service (per 100,000 population)",3320,"per 100,000 population"
2015-16,Bolton,North West,"Requests resulting in a service (per 100,000 population)",2809,"per 100,000 population"
2015-16,Bournemouth,South West,"Requests resulting in a service (per 100,000 population)",1718,"per 100,000 population"
2015-16,Bracknell Forest,South East,"Requests resulting in a service (per 100,000 population)",2158,"per 100,000 population"
2015-16,Bradford,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",4333,"per 100,000 population"
2015-16,Brent,London,"Requests resulting in a service (per 100,000 population)",666,"per 100,000 population"
2015-16,Brighton and Hove,South East,"Requests resulting in a service (per 100,000 population)",2271,"per 100,000 population"
2015-16,Bristol,South West,"Requests resulting in a service (per 100,000 population)",1366,"per 100,000 population"
2015-16,Bromley,London,"Requests resulting in a service (per 100,000 population)",555,"per 100,000 population"
2015-16,Buckinghamshire,South East,"Requests resulting in a service (per 100,000 population)",496,"per 100,000 population"
2015-16,Bury,North West,"Requests resulting in a service (per 100,000 population)",2697,"per 100,000 population"
2015-16,Calderdale,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",18575,"per 100,000 population"
2015-16,Cambridgeshire,East of England,"Requests resulting in a service (per 100,000 population)",1704,"per 100,000 population"
2015-16,Camden,London,"Requests resulting in a service (per 100,000 population)",1156,"per 100,000 population"
2015-16,Central Bedfordshire,East of England,"Requests resulting in a service (per 100,000 population)",686,"per 100,000 population"
2015-16,Cheshire East,North West,"Requests resulting in a service (per 100,000 population)",1317,"per 100,000 population"
2015-16,Cheshire West and Chester,North West,"Requests resulting in a service (per 100,000 population)",1220,"per 100,000 population"
2015-16,City of London,London,"Requests resulting in a service (per 100,000 population)",1058,"per 100,000 population"
2015-16,Cornwall,South West,"Requests resulting in a service (per 100,000 population)",2263,"per 100,000 population"
2015-16,County Durham,North East,"Requests resulting in a service (per 100,000 population)",1655,"per 100,000 population"
2015-16,Coventry,West Midlands,"Requests resulting in a service (per 100,000 population)",1820,"per 100,000 population"
2015-16,Croydon,London,"Requests resulting in a service (per 100,000 population)",915,"per 100,000 population"
2015-16,Cumbria,North West,"Requests resulting in a service (per 100,000 population)",1952,"per 100,000 population"
2015-16,Darlington,North East,"Requests resulting in a service (per 100,000 population)",2310,"per 100,000 population"
2015-16,Derby,East Midlands,"Requests resulting in a service (per 100,000 population)",1637,"per 100,000 population"
2015-16,Derbyshire,East Midlands,"Requests resulting in a service (per 100,000 population)",2698,"per 100,000 population"
2015-16,Devon,South West,"Requests resulting in a service (per 100,000 population)",1215,"per 100,000 population"
2015-16,Doncaster,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",1224,"per 100,000 population"
2015-16,Dorset,South West,"Requests resulting in a service (per 100,000 population)",1564,"per 100,000 population"
2015-16,Dudley,West Midlands,"Requests resulting in a service (per 100,000 population)",2461,"per 100,000 population"
2015-16,Ealing,London,"Requests resulting in a service (per 100,000 population)",1009,"per 100,000 population"
2015-16,East Riding of Yorkshire,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",5781,"per 100,000 population"
2015-16,East Sussex,South East,"Requests resulting in a service (per 100,000 population)",964,"per 100,000 population"
2015-16,Enfield,London,"Requests resulting in a service (per 100,000 population)",1479,"per 100,000 population"
2015-16,Essex,East of England,"Requests resulting in a service (per 100,000 population)",1548,"per 100,000 population"
2015-16,Gateshead,North East,"Requests resulting in a service (per 100,000 population)",1683,"per 100,000 population"
2015-16,Gloucestershire,South West,"Requests resulting in a service (per 100,000 population)",1026,"per 100,000 population"
2015-16,Greenwich,London,"Requests resulting in a service (per 100,000 population)",1976,"per 100,000 population"
2015-16,Hackney,London,"Requests resulting in a service (per 100,000 population)",1448,"per 100,000 population"
2015-16,Halton,North West,"Requests resulting in a service (per 100,000 population)",970,"per 100,000 population"
2015-16,Hammersmith and Fulham,London,"Requests resulting in a service (per 100,000 population)",1336,"per 100,000 population"
2015-16,Hampshire,South East,"Requests resulting in a service (per 100,000 population)",1850,"per 100,000 population"
2015-16,Haringey,London,"Requests resulting in a service (per 100,000 population)",854,"per 100,000 population"
2015-16,Harrow,London,"Requests resulting in a service (per 100,000 population)",1622,"per 100,000 population"
2015-16,Hartlepool,North East,"Requests resulting in a service (per 100,000 population)",2497,"per 100,000 population"
2015-16,Havering,London,"Requests resulting in a service (per 100,000 population)",1902,"per 100,000 population"
2015-16,Herefordshire,West Midlands,"Requests resulting in a service (per 100,000 population)",1833,"per 100,000 population"
2015-16,Hertfordshire,East of England,"Requests resulting in a service (per 100,000 population)",1023,"per 100,000 population"
2015-16,Hillingdon,London,"Requests resulting in a service (per 100,000 population)",266,"per 100,000 population"
2015-16,Hounslow,London,"Requests resulting in a service (per 100,000 population)",1137,"per 100,000 population"
2015-16,Isle of Wight,South East,"Requests resulting in a service (per 100,000 population)",1363,"per 100,000 population"
2015-16,Isles of Scilly,South West,"Requests resulting in a service (per 100,000 population)",1539,"per 100,000 population"
2015-16,Islington,London,"Requests resulting in a service (per 100,000 population)",1443,"per 100,000 population"
2015-16,Kensington and Chelsea,London,"Requests resulting in a service (per 100,000 population)",960,"per 100,000 population"
2015-16,Kent,South East,"Requests resulting in a service (per 100,000 population)",1620,"per 100,000 population"
2015-16,Kingston Upon Hull,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",2901,"per 100,000 population"
2015-16,Kingston upon Thames,London,"Requests resulting in a service (per 100,000 population)",955,"per 100,000 population"
2015-16,Kirklees,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",1921,"per 100,000 population"
2015-16,Knowsley,North West,"Requests resulting in a service (per 100,000 population)",728,"per 100,000 population"
2015-16,Lambeth,London,"Requests resulting in a service (per 100,000 population)",523,"per 100,000 population"
2015-16,Lancashire,North West,"Requests resulting in a service (per 100,000 population)",2200,"per 100,000 population"
2015-16,Leeds,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",1358,"per 100,000 population"
2015-16,Leicester,East Midlands,"Requests resulting in a service (per 100,000 population)",1605,"per 100,000 population"
2015-16,Leicestershire,East Midlands,"Requests resulting in a service (per 100,000 population)",2357,"per 100,000 population"
2015-16,Lewisham,London,"Requests resulting in a service (per 100,000 population)",2179,"per 100,000 population"
2015-16,Lincolnshire,East Midlands,"Requests resulting in a service (per 100,000 population)",2030,"per 100,000 population"
2015-16,Liverpool,North West,"Requests resulting in a service (per 100,000 population)",1072,"per 100,000 population"
2015-16,Luton,East of England,"Requests resulting in a service (per 100,000 population)",889,"per 100,000 population"
2015-16,Manchester,North West,"Requests resulting in a service (per 100,000 population)",2095,"per 100,000 population"
2015-16,Medway,South East,"Requests resulting in a service (per 100,000 population)",1837,"per 100,000 population"
2015-16,Merton,London,"Requests resulting in a service (per 100,000 population)",1049,"per 100,000 population"
2015-16,Middlesbrough,North East,"Requests resulting in a service (per 100,000 population)",1826,"per 100,000 population"
2015-16,Milton Keynes,South East,"Requests resulting in a service (per 100,000 population)",1719,"per 100,000 population"
2015-16,Newcastle upon Tyne,North East,"Requests resulting in a service (per 100,000 population)",1863,"per 100,000 population"
2015-16,Newham,London,"Requests resulting in a service (per 100,000 population)",1025,"per 100,000 population"
2015-16,Norfolk,East of England,"Requests resulting in a service (per 100,000 population)",2134,"per 100,000 population"
2015-16,North East Lincolnshire,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",425,"per 100,000 population"
2015-16,North Lincolnshire,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",3694,"per 100,000 population"
2015-16,North Somerset,South West,"Requests resulting in a service (per 100,000 population)",1043,"per 100,000 population"
2015-16,North Tyneside,North East,"Requests resulting in a service (per 100,000 population)",4519,"per 100,000 population"
2015-16,North Yorkshire,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",1290,"per 100,000 population"
2015-16,Northamptonshire,East Midlands,"Requests resulting in a service (per 100,000 population)",800,"per 100,000 population"
2015-16,Northumberland,North East,"Requests resulting in a service (per 100,000 population)",4586,"per 100,000 population"
2015-16,Nottingham,East Midlands,"Requests resulting in a service (per 100,000 population)",686,"per 100,000 population"
2015-16,Nottinghamshire,East Midlands,"Requests resulting in a service (per 100,000 population)",1483,"per 100,000 population"
2015-16,Oldham,North West,"Requests resulting in a service (per 100,000 population)",716,"per 100,000 population"
2015-16,Oxfordshire,South East,"Requests resulting in a service (per 100,000 population)",1540,"per 100,000 population"
2015-16,Peterborough,East of England,"Requests resulting in a service (per 100,000 population)",1246,"per 100,000 population"
2015-16,Plymouth,South West,"Requests resulting in a service (per 100,000 population)",1654,"per 100,000 population"
2015-16,Poole,South West,"Requests resulting in a service (per 100,000 population)",3980,"per 100,000 population"
2015-16,Portsmouth,South East,"Requests resulting in a service (per 100,000 population)",2512,"per 100,000 population"
2015-16,Reading,South East,"Requests resulting in a service (per 100,000 population)",1197,"per 100,000 population"
2015-16,Redbridge,London,"Requests resulting in a service (per 100,000 population)",2312,"per 100,000 population"
2015-16,Redcar and Cleveland,North East,"Requests resulting in a service (per 100,000 population)",2214,"per 100,000 population"
2015-16,Richmond upon Thames,London,"Requests resulting in a service (per 100,000 population)",1669,"per 100,000 population"
2015-16,Rochdale,North West,"Requests resulting in a service (per 100,000 population)",2315,"per 100,000 population"
2015-16,Rotherham,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",2366,"per 100,000 population"
2015-16,Rutland,East Midlands,"Requests resulting in a service (per 100,000 population)",1454,"per 100,000 population"
2015-16,Salford,North West,"Requests resulting in a service (per 100,000 population)",2056,"per 100,000 population"
2015-16,Sandwell,West Midlands,"Requests resulting in a service (per 100,000 population)",2596,"per 100,000 population"
2015-16,Sefton,North West,"Requests resulting in a service (per 100,000 population)",2827,"per 100,000 population"
2015-16,Sheffield,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",2692,"per 100,000 population"
2015-16,Shropshire,West Midlands,"Requests resulting in a service (per 100,000 population)",1386,"per 100,000 population"
2015-16,Slough,South East,"Requests resulting in a service (per 100,000 population)",1370,"per 100,000 population"
2015-16,Solihull,West Midlands,"Requests resulting in a service (per 100,000 population)",1413,"per 100,000 population"
2015-16,Somerset,South West,"Requests resulting in a service (per 100,000 population)",1194,"per 100,000 population"
2015-16,South Gloucestershire,South West,"Requests resulting in a service (per 100,000 population)",691,"per 100,000 population"
2015-16,South Tyneside,North East,"Requests resulting in a service (per 100,000 population)",3198,"per 100,000 population"
2015-16,Southampton,South East,"Requests resulting in a service (per 100,000 population)",1475,"per 100,000 population"
2015-16,Southend-on-Sea,East of England,"Requests resulting in a service (per 100,000 population)",1119,"per 100,000 population"
2015-16,Southwark,London,"Requests resulting in a service (per 100,000 population)",872,"per 100,000 population"
2015-16,St. Helens,North West,"Requests resulting in a service (per 100,000 population)",5933,"per 100,000 population"
2015-16,Staffordshire,West Midlands,"Requests resulting in a service (per 100,000 population)",1328,"per 100,000 population"
2015-16,Stockport,North West,"Requests resulting in a service (per 100,000 population)",2187,"per 100,000 population"
2015-16,Stockton-on-Tees,North East,"Requests resulting in a service (per 100,000 population)",2800,"per 100,000 population"
2015-16,Stoke-on-Trent,West Midlands,"Requests resulting in a service (per 100,000 population)",1130,"per 100,000 population"
2015-16,Suffolk,East of England,"Requests resulting in a service (per 100,000 population)",2667,"per 100,000 population"
2015-16,Sunderland,North East,"Requests resulting in a service (per 100,000 population)",2717,"per 100,000 population"
2015-16,Surrey,South East,"Requests resulting in a service (per 100,000 population)",872,"per 100,000 population"
2015-16,Sutton,London,"Requests resulting in a service (per 100,000 population)",2065,"per 100,000 population"
2015-16,Swindon,South West,"Requests resulting in a service (per 100,000 population)",1700,"per 100,000 population"
2015-16,Tameside,North West,"Requests resulting in a service (per 100,000 population)",3295,"per 100,000 population"
2015-16,Telford and Wrekin,West Midlands,"Requests resulting in a service (per 100,000 population)",1551,"per 100,000 population"
2015-16,Thurrock,East of England,"Requests resulting in a service (per 100,000 population)",1895,"per 100,000 population"
2015-16,Torbay,South West,"Requests resulting in a service (per 100,000 population)",3220,"per 100,000 population"
2015-16,Tower Hamlets,London,"Requests resulting in a service (per 100,000 population)",633,"per 100,000 population"
2015-16,Trafford,North West,"Requests resulting in a service (per 100,000 population)",3375,"per 100,000 population"
2015-16,Wakefield,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",4307,"per 100,000 population"
2015-16,Walsall,West Midlands,"Requests resulting in a service (per 100,000 population)",3219,"per 100,000 population"
2015-16,Waltham Forest,London,"Requests resulting in a service (per 100,000 population)",1478,"per 100,000 population"
2015-16,Wandsworth,London,"Requests resulting in a service (per 100,000 population)",743,"per 100,000 population"
2015-16,Warrington,North West,"Requests resulting in a service (per 100,000 population)",2477,"per 100,000 population"
2015-16,Warwickshire,West Midlands,"Requests resulting in a service (per 100,000 population)",1891,"per 100,000 population"
